CrossingID,Submission,ReportBase,ParentRepo,CrossingCl,ReportingA,Reportin_1,RevisionDa,ReasonID,Crossing_1,ReportStat,LastUpdate,Railroad,StateCD,StateName,CntyCD,CountyName,Nearest,CityCD,CityName,Street,BlockNumb,Highway,SepInd,SepRr1,SepRr2,SepRr3,SepRr4,MultFrmsFi,SameInd,SameRr1,SameRr2,SameRr3,SameRr4,RrID,Ttstn,TtstnNam,RrMain,XingOwnr,TypeXing,XPurpose,PosXing,OpenPub,TypeTrnSrv,DevelTypID,XingAdj,XngAdjNo,Whistban,WhistDate,HscoRrid,SfxHscoRri,Latitude,Longitude,LLsource,RrNarr1,RrNarr2,RrNarr3,RrNarr4,StNarr1,StNarr2,StNarr3,StNarr4,RrNarr,StNarr,THRRequest,CCMQzid,OperatingR,Operatin_1,RrDiv,RrSubDiv,Branch,PrfxMilePo,MilePost,SfxMilePos,Lt1PassMov,PassCnt,DayThru,NghtThru,TotalSwt,TotalLtr,Lt1Mov,WeekTrnMov,YearTrnMov,MaxTtSpd,MinSpd,MaxSpd,MainTrk,SidingTrk,YardTrk,TransitTrk,IndustryTr,OthrTrk,OthrTrkDes,SpselIDs,Sgnleqp,EMonitorDv,HealthMoni,NoSigns,XBuck,StopStd,YieldStd,AdvWarn,AdvW10_1,AdvW10_2,AdvW10_3,AdvW10_4,AdvW10_11,AdvW10_12,Low_Grnd,Low_GrndSi,PaveMrkIDs,Channel,Exempt,EnsSign,OthSgn,OthSgn1,OthDes1,OthSgn2,OthDes2,OthSgn3,OthDes3,PrvxSign,Led,Gates,GatePed,GateConf,GateConfTy,FlashOv,FlashNov,CFlashType,FlashPost,FlashPostT,Bkl_FlashP,Sdl_FlashP,FlashPai,AwdIDate,AwhornChk,AwhornlDat,HwyTrafSig,Wigwags,Bells,SpecPro,FlashOth,FlashOthDe,HwynrSig,Intrprmp,PrempType,HwtrfPsig,HwtrfPsigs,HwtrfPsigl,MonitorDev,WdCode,TraficLn,TraflnType,HwyPved,Downst,Illumina,XSurfDate,XSurfWidth,XSurfLengt,XSurfaceID,XSurOthr,HwyNear,HwynDist,XAngle,ComPower,HwySys,HwyClassCD,HwyClassrd,StHwy1,HwySpeed,HwySpeedps,LrsRouteid,LrsMilePos,Aadt,AadtYear,PctTruk,SchlBusChk,SchlBsCnt,HazmtVeh,EmrgncySrv,ReportYear,ReportType
537090M,Full Inventory Record,2403414,177156,Yes,2,11831,8/23/2010 12:00:00 AM,16,ATK,Published,3/7/2015 1:12:19 PM,ATK,44,RI,44009,WASHINGTON,1,440090053,DAVISVILLE,BOSTON POST ROAD,,,0,,,,,0,0,,,,,169.79,155112,DAVISVILLE,,,3,1,2,0,,0,0,,0,,0,,41.62637700000,-71.46871900000,0,,,,,,,,,,,,,ATK,Primary,NORTHEAST CORR,NEWENGLANDDIV,SHORE LINE,,169.79000000000,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,2,0,,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,0,0,0,0,,0,,0,0,,,0,1,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,0,1970,0,2,0,,0,2010,Major
943191S,Full Inventory Record,4974398,4217236,Yes,1,2272,1/19/2022 12:00:00 AM,16,SVTX,Published,1/19/2022 11:02:08 AM,SVTX,44,RI,44009,WASHINGTON,0,440090155,NORTH KINGSTOWN,NPI DRIVEWAY,,L,2,,,,,2,2,,,,,,0,,-1,-1,2,1,1,1,11,13,2,,0,,-1,,41.59179400000,-71.42802300000,1,,,,,,,,,THIS IS A DRIVEWAY TO THE PARKING LOT OF A SMALL BUSINESS,THIS IS A DRIVEWAY TO THE PARKING LOT OF A SMALL BUSINESS,,,SVTX,Primary,#N\A,#N\A,QUONSET MAIN,,0.00000000000,,2,0,0,0,2,0,2,8,2018,10,0,10,0,0,1,0,0,0,,0,2,2,2,2,0,0,0,1,2,0,0,0,0,0,2,,0,0,2,1,2,0,,0,,0,,2,,0,0,0,0,0,0,0,0,0,2,2,0,-1,2,,2,0,0,0,0,,2,1,0,2,,,0,0,1,2,1,2,2,0,0,0,12,,1,25,3,1,0,0,0,0,0,0,,,0,0,0,2,0,,0,2022,Major
861550C,Full Inventory Record,5054633,4308819,No,1,1908,6/21/2022 12:00:00 AM,14,PW,Published,6/21/2022 6:41:38 AM,PW,44,RI,44007,PROVIDENCE,0,440070180,PAWTUCKET,Division Street,,SR,2,,,,,2,2,,,,,2.42,151214,151214,-1,-1,3,1,1,0,11,14,2,,0,,-1,,41.87497000000,-71.36465800000,1,,,,,,,,,,,,,PW,Primary,NORTHERN,MAIN LINE,EAST PROVIDENCE,,2.42000000000,,2,0,2,0,0,0,2,0,2022,10,0,10,1,1,0,0,0,1,SIDETRACK,12,2,2,2,2,0,0,0,"1,2,3,4,11,12,0",0,0,0,0,0,0,2,,1,0,2,1,2,0,,0,,0,,2,No,0,0,0,0,0,0,0,0,0,2,2,0,0,2,,2,0,0,0,0,,1,2,1,0,,,0,1,2,2,1,2,1,0,51,205,16,,2,0,0,1,3,1,16,2,25,1,,,7600,2018,4,1,0,,1,2022,Major
536992N,Full Inventory Record,2194195,177068,No,2,11831,5/3/2007 12:00:00 AM,14,RDOT,Published,3/7/2015 1:12:19 PM,RDOT,44,RI,44001,BRISTOL,0,440010013,BARRINGTON,BAY SPRING AVE,,,2,,,,,0,2,,,,,758,152119,W BARRINGTON,,,0,2,1,0,,13,0,,0,,0,,41.74800100000,-71.34470400000,0,,,,,,,,,,,,,RDOT,Primary,NORTHEASTERN,NEWENGLAND DIV,BRISTOL SEC TRK,,7.58000000000,,0,0,1,0,0,0,0,0,0,8,5,8,1,0,0,0,0,0,,18,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,0,0,0,0,,0,,0,0,,,0,5,2,0,1,2,0,0,0,0,12,,2,0,3,1,8,1,19,2,0,0,,,500,1970,4,2,0,,0,2007,Major
537004N,Full Inventory Record,2194225,177078,No,2,11831,5/3/2007 12:00:00 AM,14,RDOT,Published,3/7/2015 1:12:19 PM,RDOT,44,RI,44001,BRISTOL,0,440010225,WARREN,BROWN ST,,,0,,,,,0,0,,,,,1118,152121,,,,0,2,1,0,,0,0,,0,,0,,41.73479800000,-71.28330200000,0,,,,,,,,,,,,,RDOT,Primary,NORTHEASTERN,NEWENGLAND DIV,BRISTOL SEC TRK,,11.18000000000,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,2,0,,0,,0,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,0,0,0,0,,0,,0,0,,,0,1,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,0,1970,0,2,0,,0,2007,Major
861529W,Full Inventory Record,296431,296431,No,2,11831,1/1/1970 12:00:00 AM,15,SUB,Published,3/7/2015 1:12:19 PM,SUB,44,RI,44007,PROVIDENCE,0,440070057,EAST PROVIDENCE,PRIVATE ROAD,,PRI,0,,,,,0,0,,,,,2.60,151231,E PROVIDENCE,,,2,1,1,0,,14,0,,0,,0,,42.00170100000,-71.52040100000,0,,,,,,,,,,,,,SUB,Primary,,,E PROV 2NDARY,,2.60000000000,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,2,0,,0,,0,,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,0,0,0,0,,0,,0,0,,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,0,1970,0,2,0,,0,1970,Major
537176W,Full Inventory Record,2340486,177234,No,2,11831,1/1/2010 12:00:00 AM,14,RDOT,Published,3/7/2015 1:12:19 PM,RDOT,44,RI,44005,NEWPORT,0,440050185,PORTSMOUTH,PEDESTRIAN UNPASS,,,0,,,,,0,0,,,,,4818,154121,PORTSMOUTH,,,2,1,3,0,,12,0,,0,,0,,41.59019500000,-71.28224900000,0,,,,,,,,,,,,,RDOT,Primary,NORTHEASTERN,NEW ENGLND DIV,NEWPORT SEC TRK,,21.93000000000,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,2,0,,0,,0,,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,0,0,0,0,,0,,0,0,,,0,1,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,0,1970,0,2,0,,0,2010,Major
536980U,Full Inventory Record,2194201,177054,No,2,11831,5/3/2007 12:00:00 AM,14,RDOT,Published,3/7/2015 1:12:19 PM,RDOT,44,RI,44007,PROVIDENCE,0,440070057,EAST PROVIDENCE,(GULF OIL CO),,,0,,,,,0,0,,,,,OH BR#3.06,151231,E PROVIDENCE,,,0,2,2,0,,0,0,,0,,0,,41.82070200000,-71.38250000000,0,,,,,,,,,,,,,RDOT,Primary,NORTHEASTERN,NEWENGLAND DIV,BRISTOL SEC TRK,,3.06000000000,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,2,0,,0,,0,,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,0,0,0,0,,0,,0,0,,,0,1,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,0,1970,0,2,0,,0,2007,Major
536922Y,Full Inventory Record,2403368,176997,Yes,2,11831,8/23/2010 12:00:00 AM,16,PW,Published,3/7/2015 1:12:19 PM,PW,44,RI,44007,PROVIDENCE,0,440070050,CRANSTON,ROUTE  I - 95,,ROUTE95,0,,,,,0,0,,,,,UGBR.#5.95,151263,BELLEFONTE,,,3,1,3,0,,0,0,,0,,0,,41.76210000000,-71.42980200000,0,,,,,,,,,,,,,PW,Primary,NORTHEASTERN,NEWENGLAND(E),PONTIAC SEC.TRK,,0.96000000000,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,2,0,,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,0,0,0,0,,0,,0,0,,,0,1,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,0,1970,0,2,0,,0,2010,Major
537061C,Full Inventory Record,3164338,2533613,No,2,11831,3/2/2016 12:00:00 AM,14,ATK,Published,3/2/2016 12:12:03 PM,ATK,44,RI,44009,WASHINGTON,0,440090240,WESTERLY,WEST ST,,Town,0,,,,,0,0,,,,,141.67,155188,WESTERLY,,ATK,3,1,2,0,12,0,0,,0,,0,,41.38244200000,-71.82819400000,0,,,,,,,,,,,,,ATK,Primary,NORTHEAST,EAST,SHORE LINE,,141.67000000000,,0,36,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,2,0,,0,,0,,0,,0,0,0,0,0,0,0,0,0,2,2,0,0,0,,2,0,0,0,0,,0,,0,0,,,0,1,0,0,0,0,0,0,0,0,,,0,0,0,0,8,0,19,0,0,0,,,0,1970,0,2,0,,2,2016,Major
